career_title,required_skills,salary_min,salary_max,demand_level,automation_risk,competition_level,job_type,market_trend,salary_growth_rate
Site Reliability Engineer,"Linux,Kubernetes,Prometheus,Python,Go,Terraform,CI/CD,Incident Management,On-call Practices,SLOs/SLAs,Distributed Systems,Chaos Engineering,Observability,Logging,Alerting,Performance Engineering,Automation,Networking,Security,Post-mortem Analysis",80000,145000,9,20,7,Remote,Rising,6.5
QA Engineer,"Selenium,Python,Java,JIRA,Test Automation,REST API Testing,Postman,JUnit,TestNG,BDD,Cucumber,Load Testing,JMeter,Bug Tracking,Test Planning,Manual Testing,Regression Testing,CI/CD Integration,SQL,Agile",45000,85000,7,45,5,Hybrid,Stable,3.0
Scrum Master,"Agile,Scrum,Kanban,JIRA,Confluence,Communication,Leadership,Facilitation,Conflict Resolution,Sprint Planning,Retrospectives,Backlog Refinement,Stakeholder Management,Coaching,Risk Management,Metrics Tracking,Team Dynamics,SAFe,Servant Leadership,Continuous Improvement",55000,100000,7,30,6,Hybrid,Stable,3.0
Product Manager,"Communication,SQL,Agile,User Research,Roadmapping,Product Strategy,Prioritization,Wireframing,Stakeholder Management,Data Analysis,A/B Testing,Competitive Analysis,Go-to-Market Strategy,JIRA,OKRs,Customer Discovery,Pricing Strategy,Technical Literacy,Presentation Skills,Leadership",70000,130000,8,20,7,On-site,Moderate,5.0
IT Project Manager,"PMP,MS Project,Communication,Risk Management,Budgeting,Agile,Waterfall,Stakeholder Management,Resource Planning,Change Management,JIRA,Confluence,Scope Management,Quality Assurance,Reporting,Contract Management,Vendor Management,Problem Solving,Leadership,Documentation",65000,120000,7,22,6,On-site,Stable,3.0
Software Architect,"System Design,Cloud,Microservices,Java,Python,Design Patterns,Domain-Driven Design,API Design,Security Architecture,Scalability,Performance,DevOps,Containerization,Event-Driven Architecture,SQL,NoSQL,Documentation,Technical Leadership,Communication,Code Review",100000,175000,8,15,6,Remote,Moderate,5.0
Solutions Architect,"AWS,Azure,GCP,Solution Design,Communication,DevOps,Security,Networking,Cost Optimization,Migration Strategy,Enterprise Architecture,TOGAF,Presales,Technical Writing,System Integration,Hybrid Cloud,Compliance,Performance,Disaster Recovery,Client Engagement",95000,170000,9,15,7,Remote,Rising,6.5
Penetration Tester,"Kali Linux,Python,Ethical Hacking,Metasploit,Nmap,Burp Suite,Networking,Web Application Security,Social Engineering,Exploit Development,Reverse Engineering,Report Writing,OWASP Top 10,Cryptography,Active Directory Attacks,Wireless Hacking,Scripting,CVE Analysis,Red Teaming,Risk Assessment",70000,130000,8,12,7,Remote,Moderate,5.0
Security Engineer,"SIEM,Python,Threat Analysis,Linux,Networking,Incident Response,Malware Analysis,Vulnerability Management,IAM,PKI,Firewall Management,IDS/IPS,Log Analysis,Compliance,Risk Assessment,Scripting,Cloud Security,Endpoint Security,SOAR,Threat Hunting",75000,140000,9,15,7,Hybrid,Rising,6.5
AR/VR Developer,"Unity,C#,Unreal Engine,3D Modeling,OpenXR,ARKit,ARCore,Spatial Computing,UI/UX for XR,Physics Simulation,Shader Programming,WebXR,Blender,Performance Optimization,Interaction Design,Mathematics,Hand Tracking,Oculus SDK,Multiplayer Networking,Asset Optimization",65000,125000,7,22,7,Remote,Stable,3.0
IoT Developer,"C,C++,Python,MQTT,Embedded Systems,Networking,Raspberry Pi,Arduino,WiFi/BLE Protocols,Edge Computing,AWS IoT,Azure IoT,Firebase,REST APIs,Security,Firmware Development,Linux,Data Processing,Cloud Integration,OTA Updates",60000,110000,7,20,6,Hybrid,Stable,3.0
Quantitative Analyst,"Python,R,Mathematics,Statistics,Financial Modeling,Stochastic Calculus,Linear Algebra,Machine Learning,SQL,MATLAB,Risk Modeling,Derivatives Pricing,Monte Carlo Simulation,Time Series Analysis,Backtesting,Bloomberg Terminal,Data Analysis,Optimization,Portfolio Theory,Communication",90000,160000,8,28,8,On-site,Moderate,5.0
Financial Analyst,"Excel,SQL,Financial Modeling,Bloomberg,Power BI,Accounting,Valuation,DCF Analysis,Financial Statements,Forecasting,Budgeting,Variance Analysis,PowerPoint,Communication,ERP Systems,GAAP,Risk Analysis,Investment Analysis,Pivot Tables,Attention to Detail",50000,95000,7,42,6,On-site,Stable,3.0
Digital Marketing Analyst,"Google Analytics,SEO,SEM,Google Ads,Python,SQL,Social Media,Email Marketing,A/B Testing,Conversion Optimization,Content Marketing,Facebook Ads,Marketing Automation,HubSpot,Data Visualization,Copywriting,UTM Tracking,Audience Segmentation,Reporting,Communication",40000,75000,7,40,6,Hybrid,Stable,3.0
Content Strategist,"SEO,Copywriting,CMS,Analytics,Social Media,Content Planning,Editorial Calendar,Keyword Research,Brand Voice,UX Writing,HTML Basics,Email Marketing,Video Scripting,Audience Research,Competitor Analysis,WordPress,HubSpot,A/B Testing,Communication,Content Distribution",38000,70000,6,35,5,Remote,Stable,3.0
Technical Writer,"Markdown,Documentation,Git,Communication,APIs,DITA,XML,Confluence,Structured Writing,Style Guides,Static Site Generators,Diagrams,User Manuals,Developer Portals,Research,Editing,Information Architecture,Code Reading,Agile,Docs-as-Code",45000,85000,6,38,5,Remote,Stable,3.0
Data Visualization Specialist,"Tableau,Power BI,D3.js,Python,SQL,R,Matplotlib,Seaborn,Plotly,Storytelling with Data,Chart Design,Color Theory,Dashboard Design,Data Cleaning,Statistics,Adobe Illustrator,Figma,Excel,Communication,Business Intelligence",55000,100000,8,35,6,Hybrid,Stable,3.0
Research Scientist,"Python,R,Machine Learning,Deep Learning,Statistics,Mathematics,LaTeX,Experiment Design,Literature Review,Scientific Writing,Data Analysis,Pytorch,TensorFlow,Critical Thinking,Hypothesis Testing,Causal Inference,Simulation,Peer Review,Domain Expertise,Communication",80000,145000,8,18,7,On-site,Moderate,5.0
Bioinformatics Analyst,"Python,R,Genomics,Bioconductor,Statistics,BLAST,Sequence Alignment,Linux,Nextflow,Snakemake,RNA-seq,Variant Calling,Molecular Biology,Machine Learning,Data Visualization,SQL,Pathway Analysis,Proteomics,Scientific Writing,Cloud Computing",65000,115000,7,20,6,On-site,Stable,3.0
Healthcare Data Analyst,"SQL,Python,HL7,FHIR,HIPAA,Tableau,Power BI,Excel,EHR Systems,Clinical Data,ICD Coding,Statistical Analysis,Data Cleaning,Healthcare Terminology,Report Writing,ETL,Communication,Privacy Compliance,SAS,Data Governance",55000,100000,8,30,5,Hybrid,Moderate,5.0
ERP Consultant,"SAP,Oracle ERP,SQL,Business Analysis,Communication,ERP Implementation,Process Mapping,Change Management,Module Configuration,Data Migration,ABAP Basics,Financial Processes,Supply Chain,Integration,Testing,Documentation,Stakeholder Management,Training,Project Management,Troubleshooting",60000,115000,7,30,6,On-site,Stable,3.0
Salesforce Developer,"Apex,Lightning Web Components,Visualforce,SOQL,JavaScript,CRM,Salesforce Administration,Flows,Process Builder,Integration APIs,REST APIs,Debugging,Version Control,Salesforce Security,Custom Objects,Triggers,Test Classes,Deployment,DevOps,Communication",65000,120000,7,28,7,Remote,Stable,3.0
CRM Analyst,"Salesforce,HubSpot,SQL,Excel,Power BI,Communication,Customer Segmentation,Campaign Analysis,Lead Scoring,Data Quality,CRM Strategy,Report Building,A/B Testing,Marketing Automation,Pipeline Management,KPI Tracking,Problem Solving,Collaboration,Data Cleaning,Business Intelligence",45000,80000,6,38,5,Hybrid,Stable,3.0
ETL Developer,"SQL,Python,Informatica,SSIS,SSIS,Talend,Data Warehousing,Data Modeling,Stored Procedures,Spark,Airflow,Data Quality,Shell Scripting,Git,Debugging,Performance Tuning,Cloud Data Platforms,NoSQL,Scheduling,Documentation",60000,105000,7,40,5,Hybrid,Stable,3.0
Data Architect,"SQL,NoSQL,Spark,Data Modeling,Cloud,Data Warehousing,ETL Design,Schema Design,Lakehouse Architecture,Snowflake,BigQuery,Redshift,dbt,Data Governance,Metadata Management,Python,Security,Performance Optimization,Master Data Management,Communication",90000,160000,8,20,6,Remote,Moderate,5.0
Platform Engineer,"Kubernetes,Terraform,Go,Python,AWS,Linux,Docker,CI/CD,Helm,Service Mesh,Observability,Networking,IAM,Security,GitOps,ArgoCD,Automation,SRE Practices,Cost Management,Developer Experience",85000,150000,9,18,7,Remote,Rising,6.5
Firmware Engineer,"C,C++,RTOS,Hardware Debugging,Embedded Linux,ARM Architecture,JTAG,Oscilloscope,Bootloaders,Device Drivers,Memory Management,Power Optimization,Communication Protocols,OTA Updates,Unit Testing,Version Control,Assembly Language,Safety Standards,Signal Processing,Documentation",65000,115000,7,14,5,On-site,Stable,3.0
Hardware Engineer,"VHDL,FPGA,Electronics,Circuit Design,C,PCB Design,Altium,Signal Integrity,Power Electronics,Simulation,Oscilloscope,Logic Analyzers,Embedded Systems,Schematic Capture,EMC Compliance,Manufacturing Processes,Soldering,Component Selection,Documentation,Testing",65000,120000,6,12,5,On-site,Stable,3.0
3D Artist,"Blender,Maya,3ds Max,ZBrush,Substance Painter,Texturing,UV Unwrapping,Lighting,Rendering,Animation,Rigging,PBR Materials,Photoshop,Composition,Color Theory,Game Asset Pipeline,LOD Optimization,VFX Basics,Communication,Attention to Detail",40000,80000,5,30,7,Remote,Declining,1.5
Animator,"Adobe After Effects,3D Modeling,Rigging,Unity,Maya,Blender,Character Animation,Motion Capture,Keyframing,Physics Simulation,Compositing,Lip Sync,Storyboarding,Timing and Spacing,Expression Controllers,Video Editing,Communication,Creativity,Rendering,Asset Management",40000,80000,5,30,7,Remote,Declining,1.5
E-commerce Developer,"Shopify,WooCommerce,JavaScript,PHP,SEO,HTML,CSS,Payment Gateways,Liquid Templating,REST APIs,Performance Optimization,Conversion Optimization,Email Marketing Integration,Analytics,A/B Testing,Security,Database Basics,Git,UX Principles,Marketing Basics",45000,90000,7,32,7,Remote,Stable,3.0
WordPress Developer,"PHP,CSS,JavaScript,MySQL,SEO,HTML,Elementor,WooCommerce,Plugin Development,Theme Development,WordPress Hooks,REST APIs,Performance Optimization,Security Hardening,Git,cPanel,Page Speed,Responsive Design,Content Management,Troubleshooting",38000,75000,6,40,6,Remote,Stable,3.0
GIS Analyst,"ArcGIS,QGIS,Python,SQL,Remote Sensing,Spatial Analysis,Google Earth Engine,PostGIS,Cartography,GPS,LiDAR,Aerial Imagery,Geostatistics,Data Collection,Field Surveys,Map Design,Environmental Science,Urban Planning,R,Documentation",50000,90000,6,25,5,On-site,Stable,3.0
Automation Engineer,"Python,Selenium,RPA,UiPath,Robot Framework,CI/CD,Jenkins,Bash,PowerShell,REST API Testing,Test Automation,Performance Testing,JMeter,Git,Linux,JIRA,Agile,Debugging,BDD,Documentation",55000,105000,8,20,6,Hybrid,Moderate,5.0
Cloud Security Engineer,"AWS,Azure,GCP,IAM,Python,Threat Analysis,Compliance,Zero Trust,CSPM,Encryption,Key Management,Network Security,Security Automation,SIEM,DevSecOps,Risk Assessment,Penetration Testing Basics,Regulatory Frameworks,Container Security,Identity Federation",80000,145000,9,15,7,Remote,Rising,6.5
MLOps Engineer,"Python,Docker,Kubernetes,MLflow,CI/CD,Airflow,Terraform,Feature Stores,Model Monitoring,Data Versioning,DVC,Experiment Tracking,Cloud Platforms,Spark,Bash,Git,Observability,A/B Testing for ML,Model Serving,DataOps",85000,155000,10,18,8,Remote,Rising,6.5
iOS Developer,"Swift,Xcode,UIKit,SwiftUI,Core Data,ARKit,Core ML,CocoaPods,Firebase,REST APIs,Git,App Store Connect,Push Notifications,Instruments,Objective-C,JSON,OAuth,Unit Testing,UI Testing,Accessibility",65000,125000,8,25,7,Remote,Moderate,5.0
Android Developer,"Kotlin,Java,Android SDK,Jetpack Compose,Room,Retrofit,Firebase,Google Play Console,Material Design,Coroutines,Dagger,MVVM,REST APIs,Git,Push Notifications,Unit Testing,Espresso,JSON,OAuth,Gradle",65000,125000,8,25,7,Remote,Moderate,5.0
Rust Developer,"Rust,Systems Programming,Memory Safety,Ownership Borrowing,Cargo,WebAssembly,Async Rust,Tokio,Serde,CLI Tools,Git,Linux,Performance Optimization,FFI,Unsafe Rust,LLVM,Cross-compilation,Testing,Embedded Rust,Concurrency",80000,155000,8,15,6,Remote,Rising,6.5
Go Developer,"Go,Microservices,Concurrency,gRPC,REST APIs,Docker,Kubernetes,PostgreSQL,Redis,Git,Linux,Testing,Goroutines,Channels,Error Handling,protobuf,Performance Optimization,Cloud Deployment,Bash,HTTP Servers",75000,140000,8,20,6,Remote,Rising,6.5
PHP Developer,"PHP,Laravel,MySQL,REST APIs,Git,Composer,HTML,CSS,JavaScript,MVC,Object-Oriented PHP,Security,Authentication,Blade Templates,Eloquent ORM,Queue Systems,Caching,Unit Testing,Docker,Linux",40000,85000,7,38,6,Remote,Stable,3.0
Ruby on Rails Developer,"Ruby,Rails,PostgreSQL,RSpec,HTML,CSS,JavaScript,Git,Heroku,REST APIs,ActiveRecord,Sidekiq,Redis,Authentication,Testing,MVC,Docker,Linux,Caching,API Development",55000,110000,6,35,6,Remote,Stable,3.0
Business Intelligence Developer,"Power BI,Tableau,SQL,DAX,Power Query,Data Modeling,ETL,Excel,Azure Analysis Services,Python,R,Data Warehousing,SSRS,SSIS,Business Intelligence,Report Design,KPI Tracking,Stakeholder Communication,Data Storytelling,Dashboard Design",55000,105000,8,35,6,Hybrid,Moderate,5.0
Statistician,"Statistics,R,Python,Experimental Design,Hypothesis Testing,Regression Analysis,Bayesian Statistics,SAS,SPSS,Data Collection,Sampling Methods,Report Writing,Communication,Data Visualization,Probability,Machine Learning,Excel,SQL,Clinical Trials,Causal Inference",60000,110000,7,30,5,Hybrid,Stable,3.0
Data Governance Analyst,"Data Quality,MDM,Data Cataloging,SQL,Data Policies,Compliance,Metadata Management,Business Glossary,Data Lineage,Communication,Collibra,Alation,Python,Stakeholder Management,GDPR,CCPA,Data Stewardship,Documentation,Risk Assessment,Excel",60000,110000,8,25,5,Hybrid,Rising,6.5
Sustainability Data Analyst,"Carbon Accounting,Power BI,Python,SQL,ESG Reporting,Data Analysis,GHG Protocol,Excel,Tableau,Data Collection,Sustainability Frameworks,Communication,R,Climate Data,Regulatory Compliance,Net Zero Strategy,Stakeholder Reporting,LCA,Energy Analytics,Supply Chain Data",55000,100000,8,30,5,Hybrid,Rising,6.5
AWS Solutions Architect,"AWS,Cloud Architecture,EC2,S3,RDS,Lambda,VPC,IAM,CloudFormation,Route 53,Cost Optimization,Security,Well-Architected Framework,Auto Scaling,Load Balancing,DynamoDB,SQS,SNS,Python,Terraform",90000,165000,9,18,8,Remote,Rising,6.5
Azure Developer,"Azure,C#,.NET,ARM Templates,Azure Functions,Cosmos DB,Azure DevOps,Service Bus,Azure AD,Blob Storage,App Service,Azure Kubernetes Service,Logic Apps,Power Platform,Azure API Management,Monitoring,Security,Python,Docker,CI/CD",75000,140000,8,20,7,Remote,Rising,6.5
Kubernetes Administrator,"Kubernetes,Docker,Helm,Linux,YAML,kubectl,Prometheus,Grafana,Networking,RBAC,Storage,Ingress Controllers,Service Mesh,CI/CD,Python,Bash,Monitoring,Security,Cluster Management,GitOps",85000,150000,9,20,7,Remote,Rising,6.5
Cloud FinOps Engineer,"AWS,Azure,GCP,Cost Optimization,FinOps Framework,Cloud Billing,Python,Excel,Dashboards,Tagging Strategy,Budget Management,Reserved Instances,Spot Instances,Rightsizing,Communication,Stakeholder Reporting,Terraform,Kubernetes Cost,Chargeback Models,Forecasting",80000,145000,8,30,6,Remote,Rising,6.5
Edge Computing Engineer,"IoT,MQTT,Linux,Docker,Python,C++,Edge AI,TensorFlow Lite,Kubernetes Edge,Networking,RTOS,Hardware Integration,Cloud Integration,Security Hardening,Data Processing,Embedded Systems,5G,Containerization,Monitoring,OTA Updates",70000,130000,8,20,6,Hybrid,Rising,6.5
Incident Response Analyst,"SIEM,Forensics,Malware Analysis,Network Analysis,Python,Threat Hunting,Incident Management,Linux,Windows,Log Analysis,Wireshark,MITRE ATT&CK,Containment Procedures,Memory Forensics,Volatility,Threat Intelligence,Documentation,Communication,Risk Assessment,Scripting",70000,125000,9,15,6,Hybrid,Rising,6.5
Threat Intelligence Analyst,"Cyber Threat Intelligence,OSINT,Dark Web Monitoring,MITRE ATT&CK,SIEM,Python,Malware Analysis,Threat Hunting,Networking,Log Analysis,Reporting,Indicator of Compromise,APT Research,Communication,Linux,Security Frameworks,Vulnerability Research,Scripting,Risk Assessment,Intelligence Platforms",70000,130000,9,15,6,Hybrid,Rising,6.5
Network Security Engineer,"Firewalls,IDS/IPS,VPN,Zero Trust,Palo Alto,Cisco,Network Monitoring,SIEM,Packet Analysis,Wireshark,TCP/IP,Cryptography,Incident Response,Linux,Python,Access Control,NAC,Load Balancing,Cloud Security,Threat Modeling",75000,135000,9,18,7,Hybrid,Rising,6.5
IT Auditor,"COBIT,Risk Assessment,Compliance,SOX,ISO 27001,CISA,Audit Planning,Penetration Testing Basics,Data Analysis,SQL,Access Controls,Change Management,Documentation,Communication,Internal Controls,Vulnerability Assessment,GDPR,IT Governance,Excel,Report Writing",60000,110000,7,30,5,On-site,Stable,3.0
Quantum Computing Engineer,"Qiskit,Quantum Algorithms,Linear Algebra,Python,Quantum Gates,Quantum Error Correction,Cirq,PennyLane,Quantum Cryptography,Mathematics,Physics,Research Skills,Scientific Python,Quantum Simulation,Optimization,Machine Learning,Variational Algorithms,NISQ,Quantum Communication,Numerical Methods",100000,180000,7,10,7,Remote,Rising,7.0
Prompt Engineer,"LLM APIs,Python,Prompt Design,Chain-of-Thought,Few-shot Learning,OpenAI API,Claude API,LangChain,RAG,Vector Databases,NLP,Evaluation Frameworks,JSON,System Prompts,Context Management,Fine-tuning,A/B Testing,Technical Writing,API Integration,Problem Solving",70000,140000,9,30,7,Remote,Rising,7.0
LLMOps Engineer,"LangChain,LlamaIndex,Python,Vector Databases,RAG,Fine-tuning,Model Deployment,MLflow,Docker,Kubernetes,Prompt Engineering,API Development,Monitoring,Cost Optimization,Evaluation Frameworks,OpenAI API,Hugging Face,Git,FastAPI,Observability",90000,165000,9,20,7,Remote,Rising,7.0
AI Ethics Researcher,"AI Fairness,Bias Detection,Python,Research Methods,Policy Writing,Ethics Frameworks,Machine Learning,Statistics,Stakeholder Communication,Data Analysis,Regulatory Compliance,Algorithmic Auditing,Literature Review,GDPR,Documentation,Philosophy,Social Science,Critical Thinking,NLP,Interpretable ML",80000,150000,8,10,6,Remote,Rising,6.5
Digital Twin Engineer,"Simulation,IoT,Python,Unity,MATLAB,CAD,3D Modeling,Sensor Integration,Data Analytics,Cloud Platforms,PLC Programming,Digital Twin Platforms,Physics-Based Modeling,Machine Learning,Azure Digital Twins,Real-time Data,API Development,Visualization,Predictive Maintenance,Systems Engineering",75000,140000,8,15,6,Hybrid,Rising,6.5
Reinforcement Learning Engineer,"Python,PyTorch,TensorFlow,RL Algorithms,OpenAI Gym,Policy Gradient,Q-Learning,Multi-agent Systems,Mathematics,Statistics,Simulation,Research Skills,Git,Linear Algebra,Game Theory,Model-Based RL,Reward Shaping,Robotics,CUDA,Hyperparameter Tuning",90000,165000,8,15,7,Remote,Rising,6.5
Drone Software Engineer,"ROS,Python,C++,Computer Vision,Embedded Systems,GPS,Sensor Fusion,Flight Controllers,MAVLink,Simulation,Signal Processing,Control Systems,Linux,Real-time Programming,Object Detection,Path Planning,Wireless Communication,Safety Systems,Autonomous Navigation,CUDA",75000,140000,8,15,6,Hybrid,Rising,6.5
Enterprise Architect,"TOGAF,Solution Design,Cloud Architecture,Enterprise Strategy,Business Alignment,Stakeholder Management,IT Governance,Reference Architectures,Digital Transformation,Microservices,Security Architecture,Data Architecture,API Strategy,Technology Roadmap,Cost Optimization,Risk Management,Documentation,Communication,Agile,SAFe",100000,175000,7,15,6,Hybrid,Moderate,5.0
IT Consultant,"Solution Architecture,TOGAF,Client Communication,Project Management,Business Analysis,Cloud Strategy,Digital Transformation,Stakeholder Management,Risk Assessment,IT Strategy,Budget Planning,Vendor Management,Documentation,Presentation Skills,Change Management,ERP,CRM,Agile,Security Assessment,Technical Writing",70000,130000,7,25,7,Hybrid,Stable,3.0
SAP Developer,"SAP ABAP,SAP HANA,SAP Fiori,S/4HANA,BTP,SAP BW,SAP Integration Suite,OData Services,BAPI,RFC,SAP Security,SAP Basis,SQL,REST APIs,JavaScript,UI5,Git,Debugging,Client Communication,SAP CDS Views",70000,130000,7,30,6,Hybrid,Stable,3.0
DevSecOps Engineer,"DevSecOps,SAST,DAST,Docker,Kubernetes,CI/CD,Python,Security Automation,Vulnerability Scanning,OWASP,Secret Management,Compliance as Code,Linux,Terraform,Threat Modeling,Container Security,Git,SIEM Integration,Policy as Code,Incident Response",85000,155000,9,18,7,Remote,Rising,6.5
